Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_09_096.jpg,0,1,0,3.29126,105.3342,90.64099,1.389699,37.70256,-0.001568523
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_09_163.jpg,0,1,0,3.344778,105.5473,90.80418,1.393338,37.68217,-0.001577333
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_09_229.jpg,0,1,0,3.385417,105.7093,90.92825,1.397684,37.66629,-0.001589079
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_09_296.jpg,0,1,0,3.438521,105.8733,91.05371,1.400869,37.6506,-0.001493163
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_09_362.jpg,0,1,0,3.478124,106.0392,91.18059,1.40574,37.63386,-0.001513396
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_09_429.jpg,0,1,0,3.517197,106.2634,91.35188,1.408813,37.61187,-0.001529678
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_09_495.jpg,0,1,0,3.570148,106.4338,91.48197,1.412136,37.59476,-0.001533043
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_09_562.jpg,0,1,0,3.609329,106.6061,91.61344,1.41556,37.57728,-0.001557011
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_09_629.jpg,0,1,0,3.648384,106.8388,91.79084,1.418035,37.55349,-0.00167946
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_09_695.jpg,0,1,0,3.687312,107.0155,91.92554,1.424257,37.53634,-0.001222768
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_09_763.jpg,0,1,0,3.738425,107.2541,92.10715,1.425178,37.51211,-0.001234512
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_09_828.jpg,0,1,0,3.77745,107.4352,92.24496,1.429978,37.49146,-0.001725907
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_09_894.jpg,-2.900418,1,0,3.815957,107.6189,92.38331,1.435162,37.2933,-0.0004321984
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_09_962.jpg,-5.966658,1,0,3.8655,107.8054,92.52106,1.425469,36.76553,0.0005870443
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_10_030.jpg,-2.966621,1,0,3.903519,108.0588,92.70472,1.422285,35.94699,-0.0007917454
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_10_094.jpg,-0.02988886,1,0,3.94134,108.2514,92.84373,1.428746,35.63546,-0.002864287
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_10_162.jpg,0,1,0,3.992004,108.4459,92.98392,1.43771,35.53946,-0.003771238
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_10_230.jpg,0,1,0,4.029023,108.7086,93.17221,1.446967,35.50039,-0.003875394
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_10_296.jpg,0,1,0,4.079679,108.9081,93.31458,1.455509,35.48905,-0.003053866
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_10_363.jpg,0,1,0,4.116515,109.177,93.50596,1.459326,35.48032,-0.003264395
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_10_430.jpg,0,1,0,4.154284,109.381,93.65085,1.462944,35.47549,-0.002564238
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_10_495.jpg,0,1,0,4.203731,109.5869,93.79687,1.467285,35.46645,-0.002163211
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_10_561.jpg,0,1,0,4.240157,109.7947,93.94397,1.467234,35.45325,-0.001934004
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_10_629.jpg,0,1,0,4.276825,110.0748,94.14191,1.475091,35.42944,-0.001446665
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_10_695.jpg,0,1,0,4.313393,110.2871,94.2916,1.474738,35.40787,-0.001452803
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_10_765.jpg,0,1,0,4.362553,110.5731,94.49304,1.483655,35.37546,-0.001439358
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_10_831.jpg,-3.012517,1,0,4.398492,110.7903,94.64466,1.48689,35.18238,-0.000528824
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_10_896.jpg,-5.923514,1,0,4.43434,111.0105,94.79545,1.483088,34.64684,0.0003389016
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_10_962.jpg,-5.945059,1,0,4.48173,111.234,94.94466,1.46573,33.79363,0.0004702096
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_11_030.jpg,-2.944283,1,0,4.517501,111.5365,95.1431,1.448178,32.86906,359.9926
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_11_097.jpg,0,1,0,4.565298,111.7661,95.29227,1.43612,32.50832,359.9803
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_11_164.jpg,0,1,0,4.600764,112.0756,95.4925,1.429017,32.38472,359.9712
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_11_227.jpg,0,1,0,4.635459,112.31,95.64376,1.429539,32.38978,359.9766
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_11_299.jpg,-1.534505,1,0,4.67104,112.5468,95.79574,1.442937,32.36127,359.9811
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_11_362.jpg,-4.685557,1,0,4.716835,112.7862,95.94727,1.451562,32.09993,359.9734
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_11_429.jpg,-4.590444,1,0,4.751418,113.1098,96.14686,1.41928,31.31012,359.9386
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_11_496.jpg,-1.593656,1,0,4.786743,113.3551,96.29621,1.374008,30.83701,359.9168
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_11_562.jpg,0,1,0,4.83327,113.6028,96.44612,1.335382,30.6438,359.8956
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_11_630.jpg,0,1,0,4.868115,113.9365,96.647,1.306121,30.5962,359.8666
C:\Users\mingy\online-course\robond-mingyi\projects\RoboND-Rover-Project\roversim\IMG\robocam_2017_06_01_23_16_11_696.jpg,0,1,0,4.901849,114.1891,96.79882,1.292856,30.61746,359.8645
